name,points,challenges
时光非人,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
mEt@Fifth,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
moon1ight,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
AK的春天,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
Y3N1eGI=,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
N#X,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
albert5888,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
uigjgf,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
egghead,200,"{'challenge_name': ['signin', 'ACTF upload'], 'challenge_category': ['Misc', 'Web'], 'challenge_points': ['56', '144']}"
A5rZ,144,"{'challenge_name': ['ACTF upload'], 'challenge_category': ['Web'], 'challenge_points': ['144']}"
HB_err0r,144,"{'challenge_name': ['ACTF upload'], 'challenge_category': ['Web'], 'challenge_points': ['144']}"
