name,points,challenges
waddawd,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Kasper and friends,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Lorem Ipsum,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
IQ-toppene,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
冰奇岭,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Pepegoni,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Lucky Luke,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
ZeroTrustX,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
NYUSEC,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
powpow,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Wolverine Boots (Not Sponsored),43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Kedric Nutella  US,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
NEW-TYPE Plaid,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
HAINT,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
fibonacci,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
aviral,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
B34r5hell,43,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
jinmo123,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
${cystick},42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
PPAP,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
flagermeisters,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
rulesilolTeam,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
cdpointpoint,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Kava Bar Strobe Party,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
lolicon,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
TPC,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
n3m3s1s,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
N3wb1e_t0_Di5,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
nowiz,42,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
l33chers,1,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
just4fun,1,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Burn The Servers,1,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
m1z0r3,1,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
JoddyJoePepperoni,1,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Dreaded Deadeye Dawgs,1,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
N0_SIGNAL,1,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Kitty Wizard Money Gang,1,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Kowhan's Humble Pie,1,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
tms,1,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
